"Stage name","Assigned reconstruction age","No. of coordinates","No. of coordinates on shelf","No. of coordinates on land","No. of collections","No. of collections on shelf","No. of collections on land","Proportion of coordinates on shelf","Proportion of collections on shelf","Proportion of coordinates on land","Proportion of collections on land"
"1","Avalon Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","White Sea Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nama Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fortunian","535",88,76,9,225,193,28,0.86,0.86,0.1,0.12
"5","Stage 2","525",103,86,8,233,191,16,0.83,0.82,0.08,0.07
"6","Stage 3","515",291,245,21,803,690,46,0.84,0.86,0.07,0.06
"7","Stage 4","510",235,181,39,657,571,61,0.77,0.87,0.17,0.09
"8","Stage 5","505",244,201,31,854,709,99,0.82,0.83,0.13,0.12
"9","Drumian","500",122,109,5,334,279,8,0.89,0.84,0.04,0.02
"10","Guzhangian","500",178,137,37,559,412,92,0.77,0.74,0.21,0.16
"11","Paibian","495",119,103,12,427,395,16,0.87,0.93,0.1,0.04
"12","Jiangshanian","490",132,101,29,722,486,105,0.77,0.67,0.22,0.15
"13","Lawsonian","485",160,142,15,435,353,52,0.89,0.81,0.09,0.12
"14","Tremadocian","480",675,430,238,1487,1009,464,0.64,0.68,0.35,0.31
"15","Floian","475",502,406,86,1327,1137,122,0.81,0.86,0.17,0.09
"16","Dapingian","470",263,226,32,874,798,55,0.86,0.91,0.12,0.06
"17","Darriwilian","465",1205,809,326,2600,1640,811,0.67,0.63,0.27,0.31
"18","Sandbian","455",892,740,128,2011,1685,253,0.83,0.84,0.14,0.13
"19","Katian","450",1996,1626,281,4967,4249,572,0.81,0.86,0.14,0.12
"20","Hirnantian","445",373,316,47,727,640,67,0.85,0.88,0.13,0.09
"21","Rhuddanian","440",314,275,28,957,827,105,0.88,0.86,0.09,0.11
"22","Aeronian","440",343,314,24,560,500,45,0.92,0.89,0.07,0.08
"23","Telychian","435",404,319,82,761,605,151,0.79,0.8,0.2,0.2
"24","Sheinwoodian","430",261,246,14,740,691,27,0.94,0.93,0.05,0.04
"25","Homerian","430",157,123,31,583,436,144,0.78,0.75,0.2,0.25
"26","Gorstian","425",139,108,20,301,215,61,0.78,0.71,0.14,0.2
"27","Ludfordian","425",268,227,34,751,631,112,0.85,0.84,0.13,0.15
"28","Pridoli","420",259,184,60,644,416,117,0.71,0.65,0.23,0.18
"29","Lochkovian","415",327,246,47,1153,897,66,0.75,0.78,0.14,0.06
"30","Pragian","410",228,174,28,744,616,32,0.76,0.83,0.12,0.04
"31","Emsian","400",516,318,158,1156,693,365,0.62,0.6,0.31,0.32
"32","Eifelian","390",388,287,79,992,799,161,0.74,0.81,0.2,0.16
"33","Givetian","385",1001,718,270,2834,2115,700,0.72,0.75,0.27,0.25
"34","Frasnian","375",1003,687,310,1986,1353,616,0.68,0.68,0.31,0.31
"35","Famennian","365",514,392,117,1288,901,374,0.76,0.7,0.23,0.29
"36","Tournaisian","355",420,280,138,836,547,286,0.67,0.65,0.33,0.34
"37","Visean","340",590,370,214,1409,855,544,0.63,0.61,0.36,0.39
"38","Serpukhovian","325",452,274,168,768,496,259,0.61,0.65,0.37,0.34
"39","Bashkirian","320",347,255,91,603,438,164,0.73,0.73,0.26,0.27
"40","Moscovian","310",600,469,128,1091,729,359,0.78,0.67,0.21,0.33
"41","Kasimovian","305",315,243,70,503,397,104,0.77,0.79,0.22,0.21
"42","Gzhelian","300",497,454,41,1059,852,201,0.91,0.8,0.08,0.19
"43","Asselian","295",537,344,165,1325,777,502,0.64,0.59,0.31,0.38
"44","Sakmarian","295",1047,606,386,2188,1298,824,0.58,0.59,0.37,0.38
"45","Artinskian","285",1203,546,597,2185,1006,1102,0.45,0.46,0.5,0.5
"46","Kungurian","275",1484,1005,429,2918,1866,969,0.68,0.64,0.29,0.33
"47","Roadian","270",1038,576,409,1861,1060,704,0.55,0.57,0.39,0.38
"48","Wordian","265",1008,472,462,2142,1001,996,0.47,0.47,0.46,0.46
"49","Capitanian","260",687,260,397,1665,528,1039,0.38,0.32,0.58,0.62
"50","Wuchiapingian","255",1515,332,1142,3542,1150,2339,0.22,0.32,0.75,0.66
"51","Changhsingian","255",777,255,502,2625,1051,1545,0.33,0.4,0.65,0.59
"52","Induan","250",570,165,396,2165,646,1463,0.29,0.3,0.69,0.68
"53","Olenekian","250",769,346,380,2388,839,1356,0.45,0.35,0.49,0.57
"54","Anisian","245",1071,148,690,2929,343,1906,0.14,0.12,0.64,0.65
"55","Ladinian","240",839,68,551,1456,105,1041,0.08,0.07,0.66,0.71
"56","Carnian","230",959,158,588,1876,283,1290,0.16,0.15,0.61,0.69
"57","Norian","220",1032,367,498,2087,814,978,0.36,0.39,0.48,0.47
"58","Rhaetian","205",719,228,426,1459,706,676,0.32,0.48,0.59,0.46
"59","Hettangian","200",349,84,256,961,191,758,0.24,0.2,0.73,0.79
"60","Sinemurian","195",504,105,348,1245,251,862,0.21,0.2,0.69,0.69
"61","Pliensbachian","185",985,407,502,3678,1554,1677,0.41,0.42,0.51,0.46
"62","Toarcian","180",769,262,471,3700,1181,2189,0.34,0.32,0.61,0.59
"63","Aalenian","170",284,116,157,844,459,307,0.41,0.54,0.55,0.36
"64","Bajocian","170",852,318,513,1392,589,756,0.37,0.42,0.6,0.54
"65","Bathonian","165",776,246,513,1349,463,861,0.32,0.34,0.66,0.64
"66","Callovian","165",793,323,456,1649,741,891,0.41,0.45,0.58,0.54
"67","Oxfordian","160",781,207,560,1617,449,1153,0.27,0.28,0.72,0.71
"68","Kimmeridgian","155",534,141,373,1059,304,632,0.26,0.29,0.7,0.6
"69","Tithonian","150",522,67,422,1213,171,938,0.13,0.14,0.81,0.77
"70","Berriasian","140",265,46,207,686,158,457,0.17,0.23,0.78,0.67
"71","Valanginian","135",361,123,223,1363,436,855,0.34,0.32,0.62,0.63
"72","Hauterivian","130",453,135,305,932,267,624,0.3,0.29,0.67,0.67
"73","Barremian","125",296,130,135,736,289,359,0.44,0.39,0.46,0.49
"74","Aptian","120",711,354,324,1298,624,594,0.5,0.48,0.46,0.46
"75","Albian","105",1205,493,645,2222,798,1244,0.41,0.36,0.54,0.56
"76","Cenomanian","95",1221,534,586,2479,1222,978,0.44,0.49,0.48,0.39
"77","Turonian","90",1041,435,509,2122,913,1008,0.42,0.43,0.49,0.48
"78","Coniacian","90",454,227,176,723,311,340,0.5,0.43,0.39,0.47
"79","Santonian","85",497,212,194,977,410,431,0.43,0.42,0.39,0.44
"80","Campanian","80",1436,622,673,2434,1160,1039,0.43,0.48,0.47,0.43
"81","Maastrichtian","70",1783,228,1427,3196,424,2430,0.13,0.13,0.8,0.76
"82","Danian","65",426,32,356,956,87,827,0.08,0.09,0.84,0.87
"83","Selandian-Thanetian","60",390,67,313,674,120,540,0.17,0.18,0.8,0.8
"84","Ypresian","50",656,205,430,1158,291,833,0.31,0.25,0.66,0.72
"85","Lutetian","45",777,90,665,1179,132,1022,0.12,0.11,0.86,0.87
"86","Bartonian","40",723,50,651,1218,64,1120,0.07,0.05,0.9,0.92
"87","Priabonian","35",994,68,880,1524,111,1352,0.07,0.07,0.89,0.89
"88","Rupelian","30",586,65,503,986,124,802,0.11,0.13,0.86,0.81
"89","Chattian","25",615,130,446,925,206,618,0.21,0.22,0.73,0.67
"90","Lower Miocene","20",1278,380,843,2142,725,1319,0.3,0.34,0.66,0.62
"91","Middle Miocene","15",1293,235,1018,1976,355,1529,0.18,0.18,0.79,0.77
"92","Upper Miocene","10",1284,436,805,2077,728,1276,0.34,0.35,0.63,0.61
"93","Pliocene","5",1453,447,880,2332,793,1331,0.31,0.34,0.61,0.57
"94","Pleistocene","0",1900,800,941,3286,1471,1495,0.42,0.45,0.5,0.45
"95","Holocene","0",1165,497,561,1328,559,625,0.43,0.42,0.48,0.47
