"Stage name","Assigned reconstruction age","No. of coordinates","No. of coordinates on shelf","No. of coordinates on land","No. of collections","No. of collections on shelf","No. of collections on land","Proportion of coordinates on shelf","Proportion of collections on shelf","Proportion of coordinates on land","Proportion of collections on land"
"1","Avalon Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","White Sea Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nama Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fortunian","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Stage 2","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Stage 3","515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Stage 4","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Stage 5","505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Drumian","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Guzhangian","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paibian","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jiangshanian","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Lawsonian","485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tremadocian","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Floian","475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Dapingian","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Darriwilian","465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sandbian","455",2,2,0,2,2,0,1,1,0,0
"19","Katian","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hirnantian","445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rhuddanian","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Aeronian","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Telychian","435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Sheinwoodian","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Homerian","430",1,1,0,1,1,0,1,1,0,0
"26","Gorstian","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
