"stage","map","coordinates","coordsOnShelf","coordsOnLand","collections","collsOnShelf","collsOnLand","propCoordsOnShelf","propCollsOnShelf","propCoordsOnLand","propCollsOnLand"
"1","Avalon Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","White Sea Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nama Assemblage","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fortunian","535",88,85,0,225,221,0,0.97,0.98,0,0
"5","Stage 2","525",103,94,0,233,207,0,0.91,0.89,0,0
"6","Stage 3","515",291,265,1,803,734,2,0.91,0.91,0,0
"7","Stage 4","510",235,217,3,657,625,7,0.92,0.95,0.01,0.01
"8","Stage 5","505",244,230,2,854,806,2,0.94,0.94,0.01,0
"9","Drumian","500",122,112,2,334,283,4,0.92,0.85,0.02,0.01
"10","Guzhangian","500",178,173,1,559,502,2,0.97,0.9,0.01,0
"11","Paibian","495",119,115,0,427,411,0,0.97,0.96,0,0
"12","Jiangshanian","490",132,130,0,722,591,0,0.98,0.82,0,0
"13","Lawsonian","485",160,157,0,435,405,0,0.98,0.93,0,0
"14","Tremadocian","480",675,664,4,1487,1468,5,0.98,0.99,0.01,0
"15","Floian","475",502,492,0,1327,1259,0,0.98,0.95,0,0
"16","Dapingian","470",263,257,1,874,852,1,0.98,0.97,0,0
"17","Darriwilian","465",1205,1133,2,2600,2437,14,0.94,0.94,0,0.01
"18","Sandbian","455",892,855,13,2011,1908,30,0.96,0.95,0.01,0.01
"19","Katian","450",1996,1904,3,4967,4818,3,0.95,0.97,0,0
"20","Hirnantian","445",373,362,1,727,706,1,0.97,0.97,0,0
"21","Rhuddanian","440",314,301,2,957,910,22,0.96,0.95,0.01,0.02
"22","Aeronian","440",343,337,1,560,544,1,0.98,0.97,0,0
"23","Telychian","435",404,396,5,761,751,5,0.98,0.99,0.01,0.01
"24","Sheinwoodian","430",261,258,2,740,716,2,0.99,0.97,0.01,0
"25","Homerian","430",157,151,3,583,552,28,0.96,0.95,0.02,0.05
"26","Gorstian","425",139,127,1,301,275,1,0.91,0.91,0.01,0
"27","Ludfordian","425",268,257,4,751,739,4,0.96,0.98,0.01,0.01
"28","Pridoli","420",259,240,4,644,527,6,0.93,0.82,0.02,0.01
