"stage","map","coordinates","coordsOnShelf","coordsOnLand","collections","collsOnShelf","collsOnLand","propCoordsOnShelf","propCollsOnShelf","propCoordsOnLand","propCollsOnLand"
"1","Avalon Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","White Sea Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nama Assemblage","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fortunian","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Stage 2","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Stage 3","515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Stage 4","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Stage 5","505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Drumian","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Guzhangian","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paibian","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jiangshanian","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Lawsonian","485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tremadocian","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Floian","475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Dapingian","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Darriwilian","465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sandbian","455",2,2,0,2,2,0,1,1,0,0
"19","Katian","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hirnantian","445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rhuddanian","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Aeronian","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Telychian","435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Sheinwoodian","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Homerian","430",1,1,0,1,1,0,1,1,0,0
"26","Gorstian","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ludfordian","425",1,0,1,1,0,1,0,0,1,1
"28","Pridoli","420",1,1,0,1,1,0,1,1,0,0
"29","Lochkovian","415",16,1,15,26,1,25,0.06,0.04,0.94,0.96
"30","Pragian","410",5,0,5,9,0,9,0,0,1,1
"31","Emsian","400",15,11,4,34,30,4,0.73,0.88,0.27,0.12
"32","Eifelian","390",7,0,7,8,0,8,0,0,1,1
"33","Givetian","385",24,3,19,60,6,52,0.12,0.1,0.79,0.87
"34","Frasnian","375",49,8,41,147,8,139,0.16,0.05,0.84,0.95
"35","Famennian","365",31,7,24,38,7,31,0.23,0.18,0.77,0.82
"36","Tournaisian","355",28,1,27,58,1,57,0.04,0.02,0.96,0.98
"37","Visean","340",36,12,24,48,13,35,0.33,0.27,0.67,0.73
"38","Serpukhovian","325",11,3,8,11,3,8,0.27,0.27,0.73,0.73
"39","Bashkirian","320",99,11,88,116,11,105,0.11,0.09,0.89,0.91
"40","Moscovian","310",194,31,163,290,50,240,0.16,0.17,0.84,0.83
"41","Kasimovian","305",39,6,33,46,8,38,0.15,0.17,0.85,0.83
"42","Gzhelian","300",49,2,47,68,2,66,0.04,0.03,0.96,0.97
"43","Asselian","295",115,6,109,161,10,151,0.05,0.06,0.95,0.94
"44","Sakmarian","295",51,3,48,63,3,60,0.06,0.05,0.94,0.95
"45","Artinskian","285",65,9,56,103,21,82,0.14,0.2,0.86,0.8
"46","Kungurian","275",91,14,77,137,16,121,0.15,0.12,0.85,0.88
"47","Roadian","270",17,7,10,27,9,18,0.41,0.33,0.59,0.67
"48","Wordian","265",36,21,15,39,21,18,0.58,0.54,0.42,0.46
"49","Capitanian","260",90,9,81,115,18,97,0.1,0.16,0.9,0.84
"50","Wuchiapingian","255",153,3,150,213,3,210,0.02,0.01,0.98,0.99
"51","Changhsingian","255",50,4,46,87,5,82,0.08,0.06,0.92,0.94
"52","Induan","250",89,0,88,101,0,100,0,0,0.99,0.99
"53","Olenekian","250",170,3,167,192,13,179,0.02,0.07,0.98,0.93
"54","Anisian","245",246,3,243,303,3,300,0.01,0.01,0.99,0.99
"55","Ladinian","240",69,0,68,167,0,165,0,0,0.99,0.99
"56","Carnian","230",200,1,196,322,1,318,0,0,0.98,0.99
"57","Norian","220",420,14,405,651,15,635,0.03,0.02,0.96,0.98
"58","Rhaetian","205",111,17,93,142,28,113,0.15,0.2,0.84,0.8
"59","Hettangian","200",77,3,73,105,3,101,0.04,0.03,0.95,0.96
"60","Sinemurian","195",54,1,50,75,1,71,0.02,0.01,0.93,0.95
"61","Pliensbachian","185",15,1,13,28,1,26,0.07,0.04,0.87,0.93
"62","Toarcian","180",38,0,38,81,0,81,0,0,1,1
"63","Aalenian","170",13,0,13,16,0,16,0,0,1,1
"64","Bajocian","170",22,1,21,25,1,24,0.05,0.04,0.95,0.96
"65","Bathonian","165",73,25,46,107,49,56,0.34,0.46,0.63,0.52
"66","Callovian","165",27,2,25,33,2,31,0.07,0.06,0.93,0.94
"67","Oxfordian","160",92,1,91,113,1,112,0.01,0.01,0.99,0.99
"68","Kimmeridgian","155",116,23,93,142,29,113,0.2,0.2,0.8,0.8
"69","Tithonian","150",121,9,111,197,10,186,0.07,0.05,0.92,0.94
"70","Berriasian","140",113,12,100,152,14,137,0.11,0.09,0.88,0.9
"71","Valanginian","135",50,0,50,61,0,61,0,0,1,1
"72","Hauterivian","130",55,2,52,83,7,74,0.04,0.08,0.95,0.89
"73","Barremian","125",196,20,169,268,44,216,0.1,0.16,0.86,0.81
"74","Aptian","120",453,19,434,882,23,859,0.04,0.03,0.96,0.97
"75","Albian","105",333,38,293,520,68,450,0.11,0.13,0.88,0.87
"76","Cenomanian","95",254,53,200,616,195,420,0.21,0.32,0.79,0.68
"77","Turonian","90",61,9,52,138,42,96,0.15,0.3,0.85,0.7
"78","Coniacian","90",20,4,15,21,4,16,0.2,0.19,0.75,0.76
"79","Santonian","85",90,13,76,123,15,107,0.14,0.12,0.84,0.87
"80","Campanian","80",1114,57,1051,1893,91,1796,0.05,0.05,0.94,0.95
"81","Maastrichtian","70",1199,35,1158,1834,62,1766,0.03,0.03,0.97,0.96
"82","Danian","65",253,3,249,879,4,874,0.01,0,0.98,0.99
"83","Selandian-Thanetian","60",263,14,247,572,17,547,0.05,0.03,0.94,0.96
"84","Ypresian","50",747,26,720,1812,28,1782,0.03,0.02,0.96,0.98
"85","Lutetian","45",237,10,227,691,14,677,0.04,0.02,0.96,0.98
"86","Bartonian","40",129,11,118,244,16,228,0.09,0.07,0.91,0.93
"87","Priabonian","35",312,4,308,935,5,930,0.01,0.01,0.99,0.99
"88","Rupelian","30",336,23,313,918,31,887,0.07,0.03,0.93,0.97
"89","Chattian","25",250,4,246,485,6,479,0.02,0.01,0.98,0.99
"90","Lower Miocene","20",560,69,487,1047,107,935,0.12,0.1,0.87,0.89
"91","Middle Miocene","15",458,18,439,791,31,759,0.04,0.04,0.96,0.96
"92","Upper Miocene","10",504,15,488,706,23,682,0.03,0.03,0.97,0.97
"93","Pliocene","5",591,37,550,796,42,750,0.06,0.05,0.93,0.94
"94","Pleistocene","0",2600,247,2313,3500,331,3115,0.1,0.09,0.89,0.89
"95","Holocene","0",729,228,325,1090,302,475,0.31,0.28,0.45,0.44
